127.0.0.1 - - [14/Dec/2017:19:58:06 -0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Dec/2017:19:58:26 -0200] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 6462
0:0:0:0:0:0:0:1 - - [14/Dec/2017:19:58:27 -0200] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=B74447F846E20EF24FC47D84ECDA22E3?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [14/Dec/2017:19:58:27 -0200] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=B74447F846E20EF24FC47D84ECDA22E3?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [14/Dec/2017:19:58:27 -0200] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=B74447F846E20EF24FC47D84ECDA22E3?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [14/Dec/2017:19:58:27 -0200] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=B74447F846E20EF24FC47D84ECDA22E3?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [14/Dec/2017:19:58:27 -0200] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=B74447F846E20EF24FC47D84ECDA22E3?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [14/Dec/2017:19:58:27 -0200] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=B74447F846E20EF24FC47D84ECDA22E3?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [14/Dec/2017:19:58:27 -0200] "GET /Farmacia/faces/javax.faces.resource/style.css;jsessionid=B74447F846E20EF24FC47D84ECDA22E3?ln=css HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [14/Dec/2017:19:58:27 -0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Dec/2017:20:13:06 -0200] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 9238
